scanId,entryId,scanGroupIndex,Frequency,MacAddress,SSID,Strength
6357,23,13,5785,62:d5:76:41:44:83,Pixel,-79
6358,23,13,2447,34:60:f9:a1:88:62,,-64
6359,23,13,5785,2c:fe:e2:59:d0:c2,Horion_e9,-65
6360,23,13,2447,36:20:f9:a1:88:56,CSE OFFICE,-68
6361,23,13,2437,7a:ec:99:a0:87:01,Abhishek's A55,-66
6362,23,13,2437,56:f1:5f:2e:f3:7a,Horion_yj,-67
6363,23,13,5785,1a:50:a7:f3:20:79,DoYouKnow ,-90
6364,23,13,2447,36:20:f9:a1:88:62,CSE OFFICE,-61
6365,23,13,2462,60:63:4c:31:37:40,CSE-303,-61
6366,23,13,2412,5a:e6:b4:de:a1:ae,realme 9,-62
6367,23,13,2412,56:77:3d:1c:98:93,Redmi 11 Prime,-68
6368,23,13,5785,c6:10:ef:ee:57:ec,pixel,-82
6369,23,13,5745,36:62:f9:a1:88:63,CSE OFFICE,-93
6370,23,13,2437,0a:54:a5:5f:17:37,Galaxy S22C48A,-66
6371,23,13,2437,4e:e8:ef:1a:c1:95,Mahdi,-64
6372,23,13,5785,c2:3b:04:a2:01:1f,getIP().hackDevice(),-69
6373,23,13,2417,d6:e6:83:e5:58:d7,Redmi Note 12 Pro,-76
6374,23,13,2412,aa:dc:7e:ea:37:18,moto edge 50 neo_3238,-64
6375,23,14,5785,62:d5:76:41:44:83,Pixel,-80
6376,23,14,5785,2c:fe:e2:59:d0:c2,Horion_e9,-71
6377,23,14,5745,34:60:f9:a1:88:63,,-90
6378,23,14,2452,bc:22:28:21:09:24,CSE-205,-52
6379,23,14,5745,bc:22:28:21:09:22,,-54
6380,23,14,5745,bc:22:28:21:09:21,,-55
6381,23,14,2457,30:b5:c2:ea:5b:44,DataLab@BUET,-71
6382,23,14,2437,7a:ec:99:a0:87:01,Abhishek's A55,-64
6383,23,14,2437,56:f1:5f:2e:f3:7a,Horion_yj,-65
6384,23,14,2447,36:20:f9:a1:88:62,CSE OFFICE,-66
6385,23,14,2412,7a:ae:58:61:a1:27,NK,-66
6386,23,14,2437,5e:75:bf:7f:f2:e4,realme 9 Pro 5G,-65
6387,23,14,5785,c6:10:ef:ee:57:ec,pixel,-86
6388,23,14,2462,12:38:f1:f0:25:6e,OPPO F21 Pro,-68
6389,23,14,5745,36:62:f9:a1:88:63,CSE OFFICE,-92
6390,23,14,5785,c2:3b:04:a2:01:1f,getIP().hackDevice(),-76
6391,23,14,2467,fa:b5:62:5b:af:73,Redmi Note 10S,-76
6392,23,14,2437,8e:fa:5f:79:06:05,Ei j eta amar wifi,-66
6393,23,14,2462,76:75:55:f3:a7:bd,Redmi Note 13 Pro,-66
6394,23,15,5785,62:d5:76:41:44:83,Pixel,-88
6395,23,15,5785,2c:fe:e2:59:d0:c2,Horion_e9,-69
6396,23,15,5745,34:60:f9:a1:88:63,,-89
6397,23,15,5745,bc:22:28:21:09:22,,-55
6398,23,15,5745,bc:22:28:21:09:21,,-55
6399,23,15,2412,fe:a6:d1:4e:1c:86,narzo 50,-63
6400,23,15,2437,7a:ec:99:a0:87:01,Abhishek's A55,-65
6401,23,15,2412,5a:e6:b4:de:a1:ae,realme 9,-66
6402,23,15,2437,5e:75:bf:7f:f2:e4,realme 9 Pro 5G,-64
6403,23,15,5785,c6:10:ef:ee:57:ec,pixel,-85
6404,23,15,5745,36:62:f9:a1:88:63,CSE OFFICE,-91
6405,23,15,2437,4e:e8:ef:1a:c1:95,Mahdi,-61
6406,23,15,5785,c2:3b:04:a2:01:1f,getIP().hackDevice(),-78
6407,23,16,5785,62:d5:76:41:44:83,Pixel,-79
6408,23,16,5785,2c:fe:e2:59:d0:c2,Horion_e9,-66
6409,23,16,5745,34:60:f9:a1:88:63,,-93
6410,23,16,5745,bc:22:28:21:09:21,,-55
6411,23,16,2437,7a:ec:99:a0:87:01,Abhishek's A55,-58
6412,23,16,2412,fe:a6:d1:4e:1c:86,narzo 50,-59
6413,23,16,2437,56:f1:5f:2e:f3:7a,Horion_yj,-67
6414,23,16,5785,1a:50:a7:f3:20:79,DoYouKnow ,-80
6415,23,16,5745,c6:99:bb:89:07:d5,Z60,-90
6416,23,16,2447,36:20:f9:a1:88:62,CSE OFFICE,-64
6417,23,16,2437,5e:75:bf:7f:f2:e4,realme 9 Pro 5G,-69
6418,23,16,5785,c6:10:ef:ee:57:ec,pixel,-78
6419,23,16,5745,36:62:f9:a1:88:63,CSE OFFICE,-92
6420,23,16,2437,4e:e8:ef:1a:c1:95,Mahdi,-76
6421,23,16,5785,c2:3b:04:a2:01:1f,getIP().hackDevice(),-77
6422,23,16,2412,aa:dc:7e:ea:37:18,moto edge 50 neo_3238,-65
6423,23,17,5785,62:d5:76:41:44:83,Pixel,-79
6424,23,17,5785,2c:fe:e2:59:d0:c2,Horion_e9,-66
6425,23,17,5745,34:60:f9:a1:88:63,,-93
6426,23,17,5745,bc:22:28:21:09:21,,-55
6427,23,17,2437,7a:ec:99:a0:87:01,Abhishek's A55,-58
6428,23,17,2412,fe:a6:d1:4e:1c:86,narzo 50,-59
6429,23,17,2437,56:f1:5f:2e:f3:7a,Horion_yj,-67
