entryId,numOfScans,macAddress,ssid,countOfMac,avgStrength,stdDev,avgStrengthNoOutliers,countNoOutliers,stdDevNoOutliers
12,20,36:20:f9:a1:88:56,CSE OFFICE,5,-83.0,2.0,-82.0,4,0.0
13,20,36:62:f9:a1:88:63,CSE OFFICE,9,-95.56,1.17,-95.88,8,0.78
13,20,36:20:f9:a1:88:62,CSE OFFICE,2,-76.5,0.5,-76.5,2,0.5
13,20,60:63:4c:31:37:40,CSE-303,3,-80.33,2.36,-80.33,3,2.36
13,20,30:b5:c2:ea:5b:44,DataLab@BUET,8,-74.88,2.76,-74.0,7,1.6
13,20,36:20:f9:a1:88:56,CSE OFFICE,2,-87.0,0.0,-87.0,2,0.0
13,20,18:0f:76:c3:06:8d,CSE-304,1,-78.0,0.0,-78.0,1,0.0
14,20,30:b5:c2:ea:5b:44,DataLab@BUET,3,-66.0,4.97,-66.0,3,4.97
14,20,00:22:b0:05:f3:bc,CSE-204,7,-63.0,3.38,-64.0,6,2.52
14,20,60:63:4c:31:37:40,CSE-303,9,-63.44,2.36,-64.12,8,1.45
14,20,36:20:f9:a1:88:62,CSE OFFICE,6,-67.0,2.24,-66.0,5,0.0
14,20,36:62:f9:a1:88:57,CSE OFFICE,7,-88.0,3.16,-88.0,7,3.16
14,20,18:0f:76:c3:06:8d,CSE-304,2,-69.5,1.5,-69.5,2,1.5
14,20,36:62:f9:a1:88:63,CSE OFFICE,1,-91.0,0.0,-91.0,1,0.0
14,20,36:20:f9:a1:88:56,CSE OFFICE,1,-73.0,0.0,-73.0,1,0.0
15,20,36:20:f9:a1:88:62,CSE OFFICE,10,-67.0,2.05,-67.0,10,2.05
15,20,60:63:4c:31:37:40,CSE-303,13,-60.46,2.56,-60.46,13,2.56
15,20,36:62:f9:a1:88:63,CSE OFFICE,19,-84.53,1.09,-84.07,14,0.26
15,20,30:b5:c2:ea:5b:44,DataLab@BUET,13,-69.54,1.87,-69.78,9,0.79
15,20,00:22:b0:05:f3:bc,CSE-204,6,-74.0,2.94,-74.0,6,2.94
15,20,18:0f:76:c3:06:8d,CSE-304,5,-62.8,3.92,-62.8,5,3.92
15,20,36:20:f9:a1:88:56,CSE OFFICE,5,-77.8,1.83,-77.8,5,1.83
16,20,36:62:f9:a1:88:63,CSE OFFICE,18,-80.56,2.43,-80.88,17,2.08
16,20,30:b5:c2:ea:5b:44,DataLab@BUET,7,-65.43,2.32,-66.17,6,1.57
16,20,bc:22:28:21:55:6e,CSE-104,15,-73.13,2.85,-73.13,15,2.85
16,20,18:0f:76:c3:06:8d,CSE-304,9,-60.56,3.27,-60.56,9,3.27
16,20,60:63:4c:31:37:40,CSE-303,9,-55.67,3.65,-55.67,9,3.65
16,20,00:22:b0:05:f3:bc,CSE-204,5,-65.6,1.85,-65.6,5,1.85
16,20,36:20:f9:a1:88:62,CSE OFFICE,5,-61.4,1.62,-61.33,3,0.47
16,20,36:20:f9:a1:88:56,CSE OFFICE,3,-76.67,2.49,-76.67,3,2.49
17,20,00:22:b0:05:f3:bc,CSE-204,9,-68.78,4.59,-68.78,9,4.59
17,20,18:0f:76:c3:06:8d,CSE-304,6,-76.0,3.74,-76.0,6,3.74
17,20,36:62:f9:a1:88:63,CSE OFFICE,8,-91.0,2.74,-91.0,8,2.74
17,20,36:20:f9:a1:88:62,CSE OFFICE,12,-69.83,5.01,-67.8,10,2.32
17,20,60:63:4c:31:37:40,CSE-303,11,-70.64,3.89,-70.64,11,3.89
17,20,30:b5:c2:ea:5b:44,DataLab@BUET,6,-71.33,1.25,-71.33,6,1.25
18,20,36:20:f9:a1:88:62,CSE OFFICE,14,-69.5,1.64,-69.15,13,1.1
18,20,60:63:4c:31:37:40,CSE-303,18,-61.72,1.85,-61.56,16,0.7
18,20,36:20:f9:a1:88:56,CSE OFFICE,3,-74.67,0.94,-74.67,3,0.94
18,20,30:b5:c2:ea:5b:44,DataLab@BUET,20,-73.6,5.55,-73.6,20,5.55
18,20,00:22:b0:05:f3:bc,CSE-204,12,-71.25,4.9,-69.56,9,0.68
18,20,18:0f:76:c3:06:8d,CSE-304,10,-68.5,1.8,-68.86,7,0.35
19,5,60:63:4c:31:37:40,CSE-303,1,-63.0,0.0,-63.0,1,0.0
